Nome da Maquina;Data da Coleta;Uso de CPU;Load1;Load5;Load15;Uso de RAM;RAM total (bytes);RAM usada (bytes);Uso de Swap;Swap total (bytes);Swap usada (bytes);Uso de Disco;Disco total (bytes);Disco usado (bytes);Disco livre (bytes);Net bytes enviados;Net bytes recebidos;Net Down (Mbps);Net Up (Mbps);Pacotes IN (intervalo);Pacotes OUT (intervalo);Conexões TCP ESTABLISHED;Latência (ms);Perda de Pacotes (%);Freq CPU (MHz);Temp CPU (C);Uptime (s);Processo;PID;Usuario;CPU proc (%);MEM proc (%);Threads;RSS (bytes);IO Leitura (bytes);IO Escrita (bytes);Quando foi iniciado;Status
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;1792;;0.0;0.014912481165729958;4;1261568;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;1800;;0.0;0.013702052499680447;5;1159168;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;1908;;0.0;0.019608944390002055;5;1658880;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;1916;;0.0;0.04183241469867105;3;3538944;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;IntelCpHDCPSvc.exe;1976;;0.0;0.010651772261235683;3;901120;724;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;1984;;0.0;0.017865927110890762;10;1511424;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2040;;0.0;0.013556801059754505;7;1146880;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;backgroundTaskHost.exe;2056;DESKTOP-J1U1KVK\Alonso;0.0;0.00019366858656792152;12;16384;1024;0;2025-11-13 21:10:27;stopped
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;IntelCpHeciSvc.exe;2120;;0.0;0.00639106335674141;3;540672;1282;124;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2188;;0.0;0.10792181986497426;17;9129984;116;160;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2216;;0.0;0.01026443508809984;3;868352;5348;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;igfxCUIService.exe;2356;;0.0;0.009973932208247957;2;843776;1528;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;RuntimeBroker.exe;2448;DESKTOP-J1U1KVK\Alonso;0.0;0.019366858656792153;2;1638400;0;0;2025-11-13 21:09:29;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2484;;0.0;0.017042835617977092;3;1441792;0;0;2025-11-13 17:41:43;running
DESKTOP-J1U1KVK;2025-11-13 22:30:58;6.8;0.0;0.0;0.0;85.1;8459812864;7198453760;23.6;10753564672;2542739456;65.9;239447568384;157691998208;81755570176;87750655;512490226;0.0;0.0;0;0;50;20.1;0.0;1600.0;0;17368;svchost.exe;2544;;0.0;0.06260337060808062;12;5296128;3296;0;2025-11-13 17:41:43;running
